block_group_id,income,k12_pop,poverty_rate,total_pop,%Christian,%first_gen,state,county,lat,lon
421010032006,56853,213,0.0,982,36.3,35.0,42,101,39.93311680307737,-75.18889868758592
421010033001,22900,333,0.0,1469,36.3,35.0,42,101,39.93336037869079,-75.19073830735424
421010033002,133550,116,0.0,736,36.3,35.0,42,101,39.93644033928937,-75.19708788726788
421010033003,61940,109,0.0,659,36.3,35.0,42,101,39.93657610180938,-75.1913748418765
421010033004,175354,103,0.0,1623,36.3,35.0,42,101,39.94019635628739,-75.19772939959135
421010033005,59808,161,0.0,1198,36.3,35.0,42,101,39.934161622151045,-75.192759980496
421010033006,26492,268,0.0,601,36.3,35.0,42,101,39.935257375867515,-75.19569874864962
421010036001,55968,152,0.0,1498,36.3,35.0,42,101,39.928717549603185,-75.18949137036049
421010036002,68156,320,0.0,1129,36.3,35.0,42,101,39.93086215955815,-75.19693650514238
421010036003,16667,826,0.0,3488,36.3,35.0,42,101,39.924337129560584,-75.19047351605461
421010036004,52881,54,0.0,800,36.3,35.0,42,101,39.931994645732544,-75.19479708068462
421010037011,101318,0,0.0,817,36.3,35.0,42,101,39.92806635051107,-75.17708245395059
421010037012,61845,188,0.0,915,36.3,35.0,42,101,39.92622961991538,-75.1774897787601
421010037013,43165,234,0.0,1584,36.3,35.0,42,101,39.927563916080494,-75.1797976409657
421010037014,34080,189,0.0,833,36.3,35.0,42,101,39.92797002021875,-75.18445108920956
421010037015,68935,59,0.0,1247,36.3,35.0,42,101,39.928026875272785,-75.18203604121383
421010037021,69079,243,0.0,1690,36.3,35.0,42,101,39.9245654723517,-75.17971707152056
421010037022,41964,88,0.0,924,36.3,35.0,42,101,39.92456109622335,-75.18349574333214
421010037023,-666666666,316,0.0,1128,36.3,35.0,42,101,39.92442468017965,-75.18566253988858
421010038001,89697,195,0.0,1034,36.3,35.0,42,101,39.92041691412433,-75.17872994004065
421010038002,105875,197,0.0,1273,36.3,35.0,42,101,39.92281556025186,-75.17810491066582
421010038003,79500,125,0.0,883,36.3,35.0,42,101,39.92148877488202,-75.18108475684934
421010038004,-666666666,0,0.0,0,36.3,35.0,42,101,39.91649867891112,-75.18583257442592
421010038005,75585,70,0.0,661,36.3,35.0,42,101,39.9186710065606,-75.18265994931778
421010039011,50625,42,0.0,924,36.3,35.0,42,101,39.925185513984076,-75.17122233285696
421010039012,56925,94,0.0,1663,36.3,35.0,42,101,39.922102479431445,-75.17189561752349
421010039013,82130,268,0.0,1814,36.3,35.0,42,101,39.92188531512687,-75.1751949363125
421010039014,68407,0,0.0,1412,36.3,35.0,42,101,39.925602753639964,-75.17439170813107
421010039021,66891,172,0.0,1210,36.3,35.0,42,101,39.9196048458844,-75.17244159537546
421010039022,78660,272,0.0,2574,36.3,35.0,42,101,39.915040581936324,-75.17481282917859
421010039023,104798,161,0.0,1635,36.3,35.0,42,101,39.91832835959492,-75.17481975883845
421010040011,70250,42,0.0,862,36.3,35.0,42,101,39.92491513715468,-75.16418065418763
421010040012,76250,152,0.0,967,36.3,35.0,42,101,39.92245623553487,-75.16471548845908
421010040013,-666666666,145,0.0,1113,36.3,35.0,42,101,39.922902727521695,-75.16815571094267
421010040014,-666666666,23,0.0,1087,36.3,35.0,42,101,39.92518179578812,-75.16741100515658
421010040021,64595,0,0.0,507,36.3,35.0,42,101,39.91996743394679,-75.1652564707852
421010040022,64489,234,0.0,1595,36.3,35.0,42,101,39.91740100351608,-75.16581401959866
421010040023,109750,497,0.0,2111,36.3,35.0,42,101,39.91785313375737,-75.1692556722747
421010040024,45333,169,0.0,1059,36.3,35.0,42,101,39.92041303802032,-75.16870375248038
421010041011,77438,92,0.0,685,36.3,35.0,42,101,39.921436193333015,-75.16170926295692
421010041012,76132,234,0.0,846,36.3,35.0,42,101,39.92267697503928,-75.16143815614313
421010041013,84977,326,0.0,2045,36.3,35.0,42,101,39.92420170038697,-75.15870469977114
